ra,dec
3.2900,0.6677
3.6013,0.6960
6.3642,10.1853
6.7504,-4.2232
9.3629,-41.5305
12.1133,3.1881
15.3658,-33.7220
15.6596,1.9824
19.4946,-5.4549
21.2213,-14.7174
23.6767,4.5639
24.1633,0.1384
24.3283,-8.5155
25.2754,-17.2233
25.6458,-16.8049
25.7204,-18.5211
25.8621,-8.8393
26.2679,-4.9308
26.4846,4.0414
27.5379,-3.0773
31.5563,-1.2382
33.1050,-8.8697
36.7875,-47.3155
38.0467,0.2276
40.7625,-0.1001
43.0829,-47.5438
54.3217,-31.8704
58.5763,-16.1645
62.0946,-53.4538
66.1613,-33.2949
94.5638,50.3059
118.8479,34.7610
122.0850,10.5284
133.3800,23.3652
139.8958,30.5323
140.8108,18.4954
143.3888,9.3219
146.0492,32.3441
154.6971,-1.3591
157.6133,-6.6858
160.1717,18.8477
186.8292,17.4324
189.5371,15.0309
200.7671,3.7221
202.6692,4.6707
202.9388,51.5753
212.1613,25.5178
216.8279,-6.7541
220.3875,-0.9004
226.9379,5.3823
231.2875,42.4646
234.8708,16.8379
238.5692,4.7276
245.7513,21.6226
254.4233,34.8162
259.8396,24.6880
261.7638,11.0021
278.8338,46.1076
293.9925,58.1525
308.7442,0.2765
310.8021,-6.1649
318.8129,10.1981
319.1138,-59.7838
320.8583,1.8867
321.3000,-65.0741
324.4917,-1.4900
327.3138,-0.2143
327.6713,14.0467
327.8408,13.7884
329.6821,2.9584
334.8017,-43.8098
336.5388,0.6950
341.0013,12.7610
341.0204,27.9877
341.5883,22.5604
346.3404,-0.0366
349.8938,11.8378
353.9663,-51.8716
354.0429,-2.1264
