ra,dec,name
3.29,0.6677,AGEL001310+004004
3.6013,0.696,AGEL001424+004145
6.3642,10.1853,AGEL002527+101107
6.7504,-4.2232,AGEL002700-041324
9.3629,-41.5305,AGEL003727-413150
12.1133,3.1881,AGEL004827+031117
15.3658,-33.722,AGEL010128-334319
15.6596,1.9824,AGEL010238+015857
19.4946,-5.4549,AGEL011759-052718
21.2213,-14.7174,AGEL012453-144303
23.6767,4.5639,AGEL013442+043350
24.1633,0.1384,AGEL013639+000818
24.3283,-8.5155,AGEL013719-083056
25.2754,-17.2233,AGEL014106-171324
25.6458,-16.8049,AGEL014235-164818
25.7204,-18.5211,AGEL014253-183116
25.8621,-8.8393,AGEL014327-085021
26.2679,-4.9308,AGEL014504-045551
26.4846,4.0414,AGEL014556+040229
27.5379,-3.0773,AGEL015009-030438
31.5563,-1.2382,AGEL020613-011417
33.105,-8.8697,AGEL021225-085211
36.7875,-47.3155,AGEL022709-471856
38.0467,0.2276,AGEL023211+001339
40.7625,-0.1001,AGEL024303-000600
43.0829,-47.5438,AGEL025220-473238
54.3217,-31.8704,AGEL033717-315214
58.5763,-16.1645,AGEL035418-160952
62.0946,-53.4538,AGEL040823-532714
66.1613,-33.2949,AGEL042439-331742
94.5638,50.3059,AGEL061815+501821
118.8479,34.761,AGEL075524+344540
122.085,10.5284,AGEL080820+103142
133.38,23.3652,AGEL085331+232155
139.8958,30.5323,AGEL091935+303156
140.8108,18.4954,AGEL092315+182943
143.3888,9.3219,AGEL093333+091919
146.0492,32.3441,AGEL094412+322039
154.6971,-1.3591,AGEL101847-012133
157.6133,-6.6858,AGEL103027-064109
160.1717,18.8477,AGEL104041+185052
186.8292,17.4324,AGEL122719+172557
189.5371,15.0309,AGEL123809+150151
200.7671,3.7221,AGEL132304+034319
202.6692,4.6707,AGEL133041+044015
202.9388,51.5753,AGEL133145+513431
212.1613,25.5178,AGEL140839+253104
216.8279,-6.7541,AGEL142719-064515
220.3875,-0.9004,AGEL144133-005401
226.9379,5.3823,AGEL150745+052256
231.2875,42.4646,AGEL152509+422752
234.8708,16.8379,AGEL153929+165016
238.5692,4.7276,AGEL155417+044339
245.7513,21.6226,AGEL162300+213721
254.4233,34.8162,AGEL165742+344858
259.8396,24.688,AGEL171922+244117
261.7638,11.0021,AGEL172703+110008
278.8338,46.1076,AGEL183520+460627
293.9925,58.1525,AGEL193558+580909
308.7442,0.2765,AGEL203459+001636
310.8021,-6.1649,AGEL204312-060954
318.8129,10.1981,AGEL211515+101153
319.1138,-59.7838,AGEL211627-594702
320.8583,1.8867,AGEL212326+015312
321.3,-65.0741,AGEL212512-650427
324.4917,-1.49,AGEL213758-012924
327.3138,-0.2143,AGEL214915-001252
327.6713,14.0467,AGEL215041+140248
327.8408,13.7884,AGEL215122+134718
329.6821,2.9584,AGEL215844+025730
334.8017,-43.8098,AGEL221912-434835
336.5388,0.695,AGEL222609+004142
341.0013,12.761,AGEL224400+124540
341.0204,27.9877,AGEL224405+275916
341.5883,22.5604,AGEL224621+223338
346.3404,-0.0366,AGEL230522-000212
349.8938,11.8378,AGEL231935+115016
353.9663,-51.8716,AGEL233552-515218
354.0429,-2.1264,AGEL233610-020735
