AGEL ID,RA (HMS),DEC (DMS),,E:/GRAVITATIONAL LENSING/COORD/AGEL_coord.csv
AGEL001310+004004,00 13 09.6,00 40 03.6,,E:/GRAVITATIONAL LENSING/AGEL 1' and 3'/Demonstration/
AGEL001424+004145,00 14 24.3,00 41 45.5,,
AGEL002527+101107,00 25 27.4,10 11 07.1,,
AGEL002700-041324,00 27 00.1,-04 13 23.6,,
AGEL003727-413150,00 37 27.1,-41 31 49.8,,
AGEL004827+031117,00 48 27.2,03 11 17.1,,
AGEL010128-334319,01 01 27.8,-33 43 19.2,,
AGEL010238+015857,01 02 38.3,01 58 56.7,,
AGEL011759-052718,01 17 58.7,-05 27 17.7,,
AGEL012453-144303,01 24 53.1,-14 43 02.6,,
AGEL013442+043350,01 34 42.4,04 33 50.0,,
AGEL013639+000818,01 36 39.2,00 08 18.1,,
AGEL013719-083056,01 37 18.8,-08 30 55.9,,
AGEL014106-171324,01 41 06.1,-17 13 23.7,,
AGEL014235-164818,01 42 35.0,-16 48 17.5,,
AGEL014253-183116,01 42 52.9,-18 31 15.8,,
AGEL014327-085021,01 43 26.9,-08 50 21.3,,
AGEL014504-045551,01 45 04.3,-04 55 51.0,,
AGEL014556+040229,01 45 56.3,04 02 29.0,,
AGEL015009-030438,01 50 09.1,-03 04 38.3,,
AGEL020613-011417,02 06 13.5,-01 14 17.4,,
AGEL021225-085211,02 12 25.2,-08 52 10.8,,
AGEL022709-471856,02 27 09.0,-47 18 55.8,,
AGEL023211+001339,02 32 11.2,00 13 39.2,,
AGEL024303-000600,02 43 03.0,-00 06 00.2,,
AGEL025220-473238,02 52 19.9,-47 32 37.7,,
AGEL033717-315214,03 37 17.2,-31 52 13.6,,
AGEL035418-160952,03 54 18.3,-16 09 52.2,,
AGEL040823-532714,04 08 22.7,-53 27 13.6,,
AGEL042439-331742,04 24 38.7,-33 17 41.7,,
AGEL061815+501821,06 18 15.3,50 18 21.2,,
AGEL075524+344540,07 55 23.5,34 45 39.6,,
AGEL080820+103142,08 08 20.4,10 31 42.2,,
AGEL085331+232155,08 53 31.2,23 21 54.7,,
AGEL091935+303156,09 19 35.0,30 31 56.3,,
AGEL092315+182943,09 23 14.6,18 29 43.4,,
AGEL093333+091919,09 33 33.3,09 19 19.0,,
AGEL094412+322039,09 44 11.8,32 20 38.8,,
AGEL101847-012133,10 18 47.3,-01 21 32.6,,
AGEL103027-064109,10 30 27.2,-06 41 08.9,,
AGEL104041+185052,10 40 41.2,18 50 51.7,,
AGEL122719+172557,12 27 19.0,17 25 56.6,,
AGEL123809+150151,12 38 08.9,15 01 51.2,,
AGEL132304+034319,13 23 04.1,03 43 19.4,,
AGEL133041+044015,13 30 40.6,04 40 14.5,,
AGEL133145+513431,13 31 45.3,51 34 31.1,,
AGEL140839+253104,14 08 38.7,25 31 04.0,,
AGEL142719-064515,14 27 18.7,-06 45 14.9,,
AGEL144133-005401,14 41 33.0,-00 54 01.4,,
AGEL150745+052256,15 07 45.1,05 22 56.3,,
AGEL152509+422752,15 25 09.0,42 27 52.6,,
AGEL153929+165016,15 39 29.0,16 50 16.4,,
AGEL155417+044339,15 54 16.6,04 43 39.2,,
AGEL162300+213721,16 23 00.3,21 37 21.4,,
AGEL165742+344858,16 57 41.6,34 48 58.3,,
AGEL171922+244117,17 19 21.5,24 41 16.7,,
AGEL172703+110008,17 27 03.3,11 00 07.6,,
AGEL183520+460627,18 35 20.1,46 06 27.4,,
AGEL193558+580909,19 35 58.2,58 09 09.0,,
AGEL203459+001636,20 34 58.6,00 16 35.5,,
AGEL204312-060954,20 43 12.5,-06 09 53.6,,
AGEL211515+101153,21 15 15.1,10 11 53.1,,
AGEL211627-594702,21 16 27.3,-59 47 01.8,,
AGEL212326+015312,21 23 26.0,01 53 12.1,,
AGEL212512-650427,21 25 12.0,-65 04 26.7,,
AGEL213758-012924,21 37 58.0,-01 29 23.9,,
AGEL214915-001252,21 49 15.3,-00 12 51.5,,
AGEL215041+140248,21 50 41.1,14 02 48.1,,
AGEL215122+134718,21 51 21.8,13 47 18.2,,
AGEL215844+025730,21 58 43.7,02 57 30.2,,
AGEL221912-434835,22 19 12.4,-43 48 35.1,,
AGEL222609+004142,22 26 09.3,00 41 42.1,,
AGEL224400+124540,22 44 00.3,12 45 39.6,,
AGEL224405+275916,22 44 04.9,27 59 15.7,,
AGEL224621+223338,22 46 21.2,22 33 37.6,,
AGEL230522-000212,23 05 21.7,-00 02 11.7,,
AGEL231935+115016,23 19 34.5,11 50 15.9,,
AGEL233552-515218,23 35 51.9,-51 52 17.8,,
AGEL233610-020735,23 36 10.3,-02 07 35.0,,
